#       rho               z           Re density       Im density
     0.471370081     0.309074472      0.062428418      0.000000000
     0.471370081     0.927406866      0.061266999      0.000000000
     0.471370081     1.546291032      0.060092290      0.000000000
     0.471370081     2.166099581      0.060451324      0.000000000
     0.471370081     2.787212382      0.061936880      0.000000000
     0.471370081     3.410019700      0.062930939      0.000000000
     0.471370081     4.034925580      0.063166489      0.000000000
     0.471370081     4.662351564      0.062695876      0.000000000
     0.471370081     5.292740862      0.060095607      0.000000000
     0.471370081     5.926563084      0.051143134      0.000000000
     0.471370081     6.564319719      0.033905845      0.000000000
     0.471370081     7.206550557      0.015674139      0.000000000
     0.471370081     7.853841317      0.004797154      0.000000000
     0.471370081     8.506832843      0.001027221      0.000000000
     0.471370081     9.166232324      0.000198214      0.000000000
     0.471370081     9.832827187      0.000045693      0.000000000
     0.471370081    10.507502518      0.000010104      0.000000000
     0.471370081    11.191263275      0.000001384      0.000000000
     0.471370081    11.885263031      0.000000199      0.000000000
     0.471370081    12.590841867      0.000000152      0.000000000
     0.471370081    13.309577325      0.000000234      0.000000000
     0.471370081    14.043354475      0.000000158      0.000000000
     0.471370081    14.794464838      0.000000049      0.000000000
     0.471370081    15.565750362      0.000000008      0.000000000
     0.471370081    16.360820723      0.000000001      0.000000000
     0.471370081    17.184396135      0.000000000      0.000000000
     0.471370081    18.042878718      0.000000000      0.000000000
     0.471370081    18.945374484      0.000000000      0.000000000
     0.471370081    19.905702258      0.000000000      0.000000000
     0.471370081    20.946907526      0.000000000      0.000000000
     0.471370081    22.113746483      0.000000000      0.000000000
     0.471370081    23.523522399      0.000000000      0.000000000
     1.082254762     0.309074472      0.061034481      0.000000000
     1.082254762     0.927406866      0.060359019      0.000000000
     1.082254762     1.546291032      0.060021305      0.000000000
     1.082254762     2.166099581      0.060910328      0.000000000
     1.082254762     2.787212382      0.062283886      0.000000000
     1.082254762     3.410019700      0.063032601      0.000000000
     1.082254762     4.034925580      0.063140958      0.000000000
     1.082254762     4.662351564      0.062496166      0.000000000
     1.082254762     5.292740862      0.059336450      0.000000000
     1.082254762     5.926563084      0.049380462      0.000000000
     1.082254762     6.564319719      0.031703449      0.000000000
     1.082254762     7.206550557      0.014163516      0.000000000
     1.082254762     7.853841317      0.004213121      0.000000000
     1.082254762     8.506832843      0.000892579      0.000000000
     1.082254762     9.166232324      0.000175447      0.000000000
     1.082254762     9.832827187      0.000041309      0.000000000
     1.082254762    10.507502518      0.000009013      0.000000000
     1.082254762    11.191263275      0.000001209      0.000000000
     1.082254762    11.885263031      0.000000184      0.000000000
     1.082254762    12.590841867      0.000000157      0.000000000
     1.082254762    13.309577325      0.000000234      0.000000000
     1.082254762    14.043354475      0.000000152      0.000000000
     1.082254762    14.794464838      0.000000046      0.000000000
     1.082254762    15.565750362      0.000000007      0.000000000
     1.082254762    16.360820723      0.000000001      0.000000000
     1.082254762    17.184396135      0.000000000      0.000000000
     1.082254762    18.042878718      0.000000000      0.000000000
     1.082254762    18.945374484      0.000000000      0.000000000
     1.082254762    19.905702258      0.000000000      0.000000000
     1.082254762    20.946907526      0.000000000      0.000000000
     1.082254762    22.113746483      0.000000000      0.000000000
     1.082254762    23.523522399      0.000000000      0.000000000
     1.697377299     0.309074472      0.060016768      0.000000000
     1.697377299     0.927406866      0.060057250      0.000000000
     1.697377299     1.546291032      0.060618630      0.000000000
     1.697377299     2.166099581      0.061753868      0.000000000
     1.697377299     2.787212382      0.062735430      0.000000000
     1.697377299     3.410019700      0.063143594      0.000000000
     1.697377299     4.034925580      0.063047317      0.000000000
     1.697377299     4.662351564      0.062003780      0.000000000
     1.697377299     5.292740862      0.057648039      0.000000000
     1.697377299     5.926563084      0.045933718      0.000000000
     1.697377299     6.564319719      0.027819133      0.000000000
     1.697377299     7.206550557      0.011703154      0.000000000
     1.697377299     7.853841317      0.003318400      0.000000000
     1.697377299     8.506832843      0.000693868      0.000000000
     1.697377299     9.166232324      0.000141632      0.000000000
     1.697377299     9.832827187      0.000034466      0.000000000
     1.697377299    10.507502518      0.000007301      0.000000000
     1.697377299    11.191263275      0.000000950      0.000000000
     1.697377299    11.885263031      0.000000163      0.000000000
     1.697377299    12.590841867      0.000000166      0.000000000
     1.697377299    13.309577325      0.000000233      0.000000000
     1.697377299    14.043354475      0.000000141      0.000000000
     1.697377299    14.794464838      0.000000041      0.000000000
     1.697377299    15.565750362      0.000000006      0.000000000
     1.697377299    16.360820723      0.000000001      0.000000000
     1.697377299    17.184396135      0.000000000      0.000000000
     1.697377299    18.042878718      0.000000000      0.000000000
     1.697377299    18.945374484      0.000000000      0.000000000
     1.697377299    19.905702258      0.000000000      0.000000000
     1.697377299    20.946907526      0.000000000      0.000000000
     1.697377299    22.113746483      0.000000000      0.000000000
     1.697377299    23.523522399      0.000000000      0.000000000
     2.314313455     0.309074472      0.060704698      0.000000000
     2.314313455     0.927406866      0.061097648      0.000000000
     2.314313455     1.546291032      0.061829028      0.000000000
     2.314313455     2.166099581      0.062597676      0.000000000
     2.314313455     2.787212382      0.063065030      0.000000000
     2.314313455     3.410019700      0.063158078      0.000000000
     2.314313455     4.034925580      0.062748445      0.000000000
     2.314313455     4.662351564      0.060852714      0.000000000
     2.314313455     5.292740862      0.054406923      0.000000000
     2.314313455     5.926563084      0.040474349      0.000000000
     2.314313455     6.564319719      0.022526386      0.000000000
     2.314313455     7.206550557      0.008721953      0.000000000
     2.314313455     7.853841317      0.002327307      0.000000000
     2.314313455     8.506832843      0.000484418      0.000000000
     2.314313455     9.166232324      0.000105197      0.000000000
     2.314313455     9.832827187      0.000026496      0.000000000
     2.314313455    10.507502518      0.000005323      0.000000000
     2.314313455    11.191263275      0.000000675      0.000000000
     2.314313455    11.885263031      0.000000143      0.000000000
     2.314313455    12.590841867      0.000000181      0.000000000
     2.314313455    13.309577325      0.000000229      0.000000000
     2.314313455    14.043354475      0.000000126      0.000000000
     2.314313455    14.794464838      0.000000034      0.000000000
     2.314313455    15.565750362      0.000000005      0.000000000
     2.314313455    16.360820723      0.000000000      0.000000000
     2.314313455    17.184396135      0.000000000      0.000000000
     2.314313455    18.042878718      0.000000000      0.000000000
     2.314313455    18.945374484      0.000000000      0.000000000
     2.314313455    19.905702258      0.000000000      0.000000000
     2.314313455    20.946907526      0.000000000      0.000000000
     2.314313455    22.113746483      0.000000000      0.000000000
     2.314313455    23.523522399      0.000000000      0.000000000
     2.932932180     0.309074472      0.062199064      0.000000000
     2.932932180     0.927406866      0.062445851      0.000000000
     2.932932180     1.546291032      0.062794744      0.000000000
     2.932932180     2.166099581      0.063073140      0.000000000
     2.932932180     2.787212382      0.063168786      0.000000000
     2.932932180     3.410019700      0.062944316      0.000000000
     2.932932180     4.034925580      0.061903501      0.000000000
     2.932932180     4.662351564      0.058243930      0.000000000
     2.932932180     5.292740862      0.048762874      0.000000000
     2.932932180     5.926563084      0.032939903      0.000000000
     2.932932180     6.564319719      0.016447542      0.000000000
     2.932932180     7.206550557      0.005762585      0.000000000
     2.932932180     7.853841317      0.001445283      0.000000000
     2.932932180     8.506832843      0.000306894      0.000000000
     2.932932180     9.166232324      0.000072643      0.000000000
     2.932932180     9.832827187      0.000018637      0.000000000
     2.932932180    10.507502518      0.000003449      0.000000000
     2.932932180    11.191263275      0.000000442      0.000000000
     2.932932180    11.885263031      0.000000131      0.000000000
     2.932932180    12.590841867      0.000000199      0.000000000
     2.932932180    13.309577325      0.000000218      0.000000000
     2.932932180    14.043354475      0.000000108      0.000000000
     2.932932180    14.794464838      0.000000027      0.000000000
     2.932932180    15.565750362      0.000000004      0.000000000
     2.932932180    16.360820723      0.000000000      0.000000000
     2.932932180    17.184396135      0.000000000      0.000000000
     2.932932180    18.042878718      0.000000000      0.000000000
     2.932932180    18.945374484      0.000000000      0.000000000
     2.932932180    19.905702258      0.000000000      0.000000000
     2.932932180    20.946907526      0.000000000      0.000000000
     2.932932180    22.113746483      0.000000000      0.000000000
     2.932932180    23.523522399      0.000000000      0.000000000
     3.553459424     0.309074472      0.063028494      0.000000000
     3.553459424     0.927406866      0.063093737      0.000000000
     3.553459424     1.546291032      0.063159300      0.000000000
     3.553459424     2.166099581      0.063149139      0.000000000
     3.553459424     2.787212382      0.062929884      0.000000000
     3.553459424     3.410019700      0.062124811      0.000000000
     3.553459424     4.034925580      0.059570108      0.000000000
